"ID";"UserID";"PeerID";"Messages";"AdvisorStatus";"ConversationStatus";"CreatedAt";"UpdatedAt"
1;2;1;"[{""message"": ""Hello"", ""senderID"": 1, ""createdAt"": 1616824869486, ""botSuggestions"": []}, {""message"": ""hello, how are you today? i just got back from a long day at the office."", ""senderID"": 2, ""createdAt"": 1616824879571, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}, {""message"": ""I'm doing well, thanks for asking."", ""senderID"": 1, ""createdAt"": 1616824894348, ""botSuggestions"": []}, {""message"": ""that's good to hear. i'm glad you're having a good day."", ""senderID"": 2, ""createdAt"": 1616824906484, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}]";"[{""Status"": ""up"", ""CreatedAt"": 1616824877980}, {""Status"": ""down"", ""CreatedAt"": 1616824897014}]";"[{""Status"": ""up"", ""CreatedAt"": 1616824878883}]";"2021-03-27 06:01:48";"2021-03-27 06:01:48"
2;1;2;"[{""message"": ""Hello"", ""senderID"": 1, ""createdAt"": 1616824869486, ""botSuggestions"": []}, {""message"": ""hello, how are you today? i just got back from a long day at the office."", ""senderID"": 2, ""createdAt"": 1616824879571, ""botSuggestions"": []}, {""message"": ""I'm doing well, thanks for asking."", ""senderID"": 1, ""createdAt"": 1616824894348, ""nameOfBot"": ""DialoGPT"", ""botSuggestions"": []}, {""message"": ""that's good to hear. i'm glad you're having a good day."", ""senderID"": 2, ""createdAt"": 1616824906485, ""botSuggestions"": []}]";"[{""Status"": ""up"", ""CreatedAt"": 1616824891774}]";"[{""Status"": ""down"", ""CreatedAt"": 1616824893677}]";"2021-03-27 06:01:53";"2021-03-27 06:01:53"
3;3;1;"[{""message"": ""Hello there"", ""senderID"": 1, ""createdAt"": 1616825103469, ""botSuggestions"": []}, {""message"": ""Hello Kitty"", ""senderID"": 3, ""createdAt"": 1616825144084, ""botSuggestions"": []}, {""message"": ""i love kitty kitty! she's my favorite cat. do you have a favorite cat?"", ""senderID"": 1, ""createdAt"": 1616825154874, ""botSuggestions"": []}, {""message"": ""But i like dogs"", ""senderID"": 3, ""createdAt"": 1616825190719, ""botSuggestions"": []}, {""message"": ""what kind of dogs do you like? there are so many different kinds of dogs out there."", ""senderID"": 1, ""createdAt"": 1616825201978, ""botSuggestions"": []}]";"[]";"[]";"2021-03-27 06:07:47";"2021-03-27 06:07:47"
4;1;3;"[{""message"": ""Hello there"", ""senderID"": 1, ""createdAt"": 1616825103048, ""botSuggestions"": []}, {""message"": ""Hello Kitty"", ""senderID"": 3, ""createdAt"": 1616825143749, ""botSuggestions"": []}, {""message"": ""i love kitty kitty! she's my favorite cat. do you have a favorite cat?"", ""senderID"": 1, ""createdAt"": 1616825154437, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}, {""message"": ""But i like dogs"", ""senderID"": 3, ""createdAt"": 1616825190539, ""botSuggestions"": []}, {""message"": ""what kind of dogs do you like? there are so many different kinds of dogs out there."", ""senderID"": 1, ""createdAt"": 1616825201477, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}]";"[{""Status"": ""up"", ""CreatedAt"": 1616825208684}]";"[{""Status"": ""up"", ""CreatedAt"": 1616825210420}]";"2021-03-27 06:07:52";"2021-03-27 06:07:52"
5;1;4;"[{""message"": ""Hey"", ""senderID"": 1, ""createdAt"": 1616825603359, ""botSuggestions"": []}, {""message"": ""Hey, how are you?"", ""senderID"": 4, ""createdAt"": 1616825612088, ""botSuggestions"": []}, {""message"": ""i'm good. just got back from a long day at work. how are you?"", ""senderID"": 1, ""createdAt"": 1616825643260, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}, {""message"": ""Good too, thanks"", ""senderID"": 4, ""createdAt"": 1616825653361, ""botSuggestions"": []}, {""message"": ""Do you like the tv show friends?"", ""senderID"": 1, ""createdAt"": 1616825668275, ""botSuggestions"": []}, {""message"": ""Yes"", ""senderID"": 4, ""createdAt"": 1616825674314, ""botSuggestions"": []}, {""message"": ""Do you think ross and rachel were on a break?"", ""senderID"": 1, ""createdAt"": 1616825688771, ""botSuggestions"": [{""reply"": ""I'm not sure if you're being serious or not."", ""bot_name"": ""DialoGPT""}, {""reply"": ""i love to go to the beach. it's a great place to relax and have a good time."", ""bot_name"": ""Blenderbot""}]}, {""message"": ""i don't think so. i think it's more likely that they were together for a while."", ""senderID"": 4, ""createdAt"": 1616825740402, ""botSuggestions"": [{""reply"": ""I'm not sure if you're being serious or not."", ""bot_name"": ""DialoGPT""}, {""reply"": ""i love to go to the beach. it's a great place to relax and have a good time."", ""bot_name"": ""Blenderbot""}]}]";"[]";"[]";"2021-03-27 06:16:08";"2021-03-27 06:16:08"
6;4;1;"[{""message"": ""Hey"", ""senderID"": 1, ""createdAt"": 1616825603303, ""botSuggestions"": []}, {""message"": ""Hey, how are you?"", ""senderID"": 4, ""createdAt"": 1616825612032, ""nameOfBot"": ""DialoGPT"", ""botSuggestions"": []}, {""message"": ""i'm good. just got back from a long day at work. how are you?"", ""senderID"": 1, ""createdAt"": 1616825643177, ""botSuggestions"": []}, {""message"": ""Good too, thanks"", ""senderID"": 4, ""createdAt"": 1616825653312, ""botSuggestions"": []}, {""message"": ""Do you like the tv show friends?"", ""senderID"": 1, ""createdAt"": 1616825668893, ""botSuggestions"": []}, {""message"": ""Yes"", ""senderID"": 4, ""createdAt"": 1616825674264, ""botSuggestions"": [{""reply"": ""I do!"", ""bot_name"": ""DialoGPT""}]}, {""message"": ""Do you think ross and rachel were on a break?"", ""senderID"": 1, ""createdAt"": 1616825688686, ""botSuggestions"": [{""reply"": ""I do!"", ""bot_name"": ""DialoGPT""}]}, {""message"": ""i don't think so. i think it's more likely that they were together for a while."", ""senderID"": 4, ""createdAt"": 1616825740354, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}]";"[{""Status"": ""up"", ""CreatedAt"": 1616825620128}]";"[{""Status"": ""up"", ""CreatedAt"": 1616825627601}]";"2021-03-27 06:16:14";"2021-03-27 06:16:14"
7;4;0;"[]";"[]";"[]";"2021-03-27 06:35:12";"2021-03-27 06:35:12"
8;1;2;"[{""message"": ""Test"", ""senderID"": 1, ""createdAt"": 1616827717239, ""botSuggestions"": []}, {""message"": ""i have a test tomorrow that i am going to test. it is a test to see if my test is good or not."", ""senderID"": 2, ""createdAt"": 1616827727440, ""botSuggestions"": []}]";"[]";"[]";"2021-03-27 06:49:18";"2021-03-27 06:49:18"
9;2;1;"[{""message"": ""Test"", ""senderID"": 1, ""createdAt"": 1616827717238, ""botSuggestions"": []}, {""message"": ""i have a test tomorrow that i am going to test. it is a test to see if my test is good or not."", ""senderID"": 2, ""createdAt"": 1616827727439, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}]";"[]";"[]";"2021-03-27 06:49:23";"2021-03-27 06:49:23"
10;1;2;"[{""message"": ""Test"", ""senderID"": 1, ""createdAt"": 1616875465527, ""botSuggestions"": []}, {""message"": ""i have a test tomorrow that i am going to test. it is a test to see if my test is good or not."", ""senderID"": 2, ""createdAt"": 1616875472867, ""botSuggestions"": []}, {""message"": ""what kind of test are you going to take? i'm sure you'll do great!"", ""senderID"": 1, ""createdAt"": 1616875485331, ""nameOfBot"": ""Blenderbot"", ""botSuggestions"": []}]";"[]";"[]";"2021-03-27 20:05:06";"2021-03-27 20:05:06"
